StudentID,Name,Math,Science,English,History,Computer
S10172,Ryan Wang,63,51,80,74,98
S10173,James Tucker,87,77,30,68,61
S10174,Maria Carson,45,98,41,56,100
S10175,Daniel Moss,88,88,39,96,83
S10176,Zachary Higgins,78,34,88,52,100
S10177,Katelyn Cooper,63,90,41,85,100
S10178,Ann Clark,46,76,58,76,83
S10179,Loretta Kelley,85,69,73,44,81
S10180,Dawn Dawson,31,77,58,97,90
S10181,Richard Nixon,73,46,68,90,72
S10182,Ryan Peters,86,71,85,69,67
S10183,Joe Perez,93,68,36,75,100
S10184,Julian Manning,57,41,42,87,93
S10185,Joshua Foster,67,78,81,95,91
S10186,Samantha Chaney,94,59,58,68,66
S10187,Amanda Dawson,38,49,32,66,59
S10188,Travis Richardson,52,54,31,53,71
S10189,Joel Hardy,90,35,78,38,67
S10190,Jonathan Stephens,35,90,40,66,60
S10191,Paul King,61,37,78,42,63
S10192,Todd Logan,53,63,79,86,59
S10193,Matthew Brown,77,44,48,93,60
S10194,Erica Lewis,50,87,72,41,100
S10195,David Campbell,31,88,51,93,60
S10196,Daniel Sullivan,53,67,84,34,91
S10197,Jared Freeman,85,35,42,75,91
S10198,Patricia Smith,57,66,74,88,64
S10199,Timothy Simmons,51,36,40,54,81
S10200,Claudia Diaz,37,75,46,63,50
S10201,Travis Douglas,38,92,37,50,90
S10202,Kristen Dean,47,30,42,78,87
S10203,Daniel Burgess,49,61,41,47,58
S10204,Andrew Zimmerman,84,46,62,66,73
S10205,Mark Davis,39,37,78,43,99
S10206,Crystal Davis,94,66,64,55,78
S10207,Gregory Adams,82,33,91,95,94
S10208,Lauren Smith,32,46,39,83,64
S10209,Diana Wilson,87,99,46,90,73
S10210,Diana Massey,75,81,60,93,100
S10211,Katherine Herrera,31,91,92,84,100
S10212,Christina Swanson,78,69,96,81,76
S10213,Keith Ewing,39,47,94,86,55
S10214,Andrea Roberson,76,88,66,46,100
S10215,Steven Noble,81,87,32,50,65
S10216,James Barton,82,31,71,42,77
S10217,Stephen Cox,59,76,40,93,57
S10218,Bethany Manning,40,76,77,76,73
S10219,Maurice Smith,76,95,45,33,54
S10220,Curtis Hansen,85,58,63,49,73
S10221,Peter Anderson,53,76,88,81,87
S10222,Brendan Price,69,94,59,97,64
S10223,Paul Munoz,52,66,41,80,96
S10224,Jordan Phillips,85,83,84,65,50
S10225,Monica Cook,95,82,47,93,100
S10226,Michelle Lane,48,32,40,65,100
S10227,Randall Curtis,34,53,90,44,100
S10228,Cheryl Ingram,88,71,68,98,72
S10229,Jessica Mata,36,76,36,42,93
S10230,Robert Clarke,48,30,94,97,56
S10231,Sandra Garcia,66,62,59,70,72
S10232,Alison Nielsen,36,43,65,85,79
S10233,Ruth Harper,71,62,81,32,100
S10234,Thomas Weiss,43,78,85,78,73
S10235,Colin Thompson,34,30,60,50,92
S10236,Barbara Howard,88,81,89,46,98
S10237,Mary Parker,74,70,89,30,58
S10238,Cindy Williams,49,99,62,57,52
S10239,Javier Young,37,92,85,94,100
S10240,Aaron Mcdonald,98,72,54,80,100
S10241,Travis Hernandez PhD,77,45,54,43,72
S10242,Richard Neal,80,84,63,89,77
S10243,Lisa Beck,55,30,51,38,55
S10244,Ronald Whitehead,53,39,53,61,100
S10245,Jacqueline Mendoza,48,83,62,64,55
S10246,Gary Garcia,54,94,73,91,100
S10247,Andrew Phelps,82,58,64,47,100
S10248,Chelsea Becker,79,65,48,45,100
S10249,Nathan Anderson,89,65,89,99,73
S10250,Leslie Williams DDS,74,84,56,98,100
S10251,John Powers,92,92,48,63,62
S10252,Elizabeth Scott,81,77,96,47,57
S10253,Jonathan Bennett,40,33,43,53,89
S10254,Ryan Cooper,36,32,47,52,75
S10255,Kenneth Johnston,69,84,70,42,61
S10256,Kyle Miller,42,63,56,40,74
S10257,Tony Novak DDS,97,88,82,55,65
S10258,Joshua Johnston,77,56,72,41,53
S10259,Linda Villa,52,48,60,99,100
S10260,Timothy Stewart,45,75,58,89,82
S10261,Kelly Walker,53,96,86,97,52
S10262,Sydney Kelly,38,37,70,60,100
S10263,Kayla Jackson,99,49,70,80,64
S10264,Madison Hodges,56,93,95,35,56
S10265,Christine Johnson,59,45,32,40,81
S10266,Chelsea Stevens,60,80,95,48,74
S10267,Ryan Stewart,80,76,39,90,81
S10268,David Barnes,83,55,68,54,95
S10269,Mr. Caleb Aguilar,91,73,93,57,98
S10270,John Humphrey,96,93,72,63,100
S10271,Brenda Smith,97,92,85,96,93
S10272,Robert Ramirez,76,54,38,47,92
S10273,Steven Gonzales,85,61,67,38,72
S10274,Katherine Ford,55,86,50,91,57
S10275,Mark Armstrong Jr.,67,72,46,98,87
S10276,Jesus Vega,59,32,62,43,54
S10277,James Jones,84,87,56,66,80
S10278,Matthew Smith,37,41,89,67,87
S10279,Malik Valencia,75,89,34,81,100
S10280,Jennifer Espinoza,77,31,67,66,89
S10281,Joseph Sanders,67,84,84,54,86
S10282,Luis Cox,73,32,34,88,100
S10283,Daniel Todd,34,97,44,76,91
S10284,Kelly Gomez,50,81,73,57,74
S10285,Louis Martin,67,91,90,90,100
S10286,Tommy Moreno,68,66,67,99,96
S10287,John Myers,73,68,50,62,92
S10288,Caleb Thompson,30,87,73,30,82
S10289,Fernando Rush,85,59,47,59,100
S10290,Jennifer Taylor,49,39,44,34,78
S10291,Denise Howard,56,70,39,68,94
S10292,Grant Ewing,89,32,93,66,100
S10293,Earl Johnson,54,65,64,71,90
S10294,Jon Wolf,71,47,37,43,57
S10295,Crystal Hinton,34,55,95,40,60
S10296,Kimberly White,32,87,55,90,100
S10297,Mr. Corey Lopez,49,68,57,63,87
S10298,Erica Wagner,74,70,87,92,72
S10299,Natasha Gonzalez,65,84,90,87,100
S10300,Samantha Brennan,87,83,40,99,64
S10301,Matthew Allen,91,67,61,43,55
S10302,Laura Blankenship,34,60,63,38,90
S10303,Jessica Kirby,60,54,63,42,88
S10304,Jamie Ortega,86,78,72,32,66
S10305,Paige Leblanc,38,97,73,66,86
S10306,James Moore,72,97,67,44,70
S10307,Ashley Rice,32,61,67,97,97
S10308,Mary Martin,77,37,44,63,69
S10309,Austin Morris,66,48,70,69,100
S10310,Calvin Thomas,57,58,35,65,81
S10311,Patricia Sanders,75,51,75,49,50
S10312,Timothy Kaiser,77,42,70,64,64
S10313,Carmen Lee,94,92,64,83,79
S10314,Debra James,81,79,66,42,96
S10315,John Rasmussen,69,52,44,61,80
S10316,Peter Blackwell,88,91,32,56,66
S10317,Christy Oliver,68,64,86,57,100
S10318,Paul Young,91,62,43,42,60
S10319,Christine Kennedy,71,86,66,61,100
S10320,Christopher Harmon,58,71,47,44,80
S10321,James Branch,34,70,84,90,69
S10322,Jaime Jones,60,96,94,45,97
S10323,Jessica Smith,92,76,93,30,69
S10324,Craig Martinez,59,39,78,79,84
S10325,Mary Jensen,90,98,90,95,54
S10326,Adam May,50,58,38,82,91
S10327,Angel Reid,50,55,65,80,80
S10328,Brittany Welch,75,88,49,72,100
S10329,Troy Vang,65,63,99,96,50
S10330,Brett Benitez,61,93,93,43,98
S10331,David Jacobs,86,40,33,36,54
S10332,Timothy Wallace,65,92,97,48,100
S10333,Margaret Lee,61,80,32,98,80
S10334,Jessica Gonzales,35,57,44,88,89
S10335,Matthew Moore,78,36,92,58,100
S10336,Jessica Lopez,35,71,85,33,81
S10337,Brett Graham,99,49,57,85,100
S10338,Samantha Mata,75,86,80,42,87
S10339,Lauren Mitchell,45,78,65,34,100
S10340,Andrew Sherman,30,48,60,33,87
S10341,Jon Miller,86,72,91,37,100
S10342,Rachel Thomas,41,80,75,94,100
S10343,Clayton Henry,90,79,73,32,100
S10344,Andrew Wu,56,50,35,66,82
S10345,Katelyn Harris,49,89,42,95,50
S10346,Daniel Villarreal,67,49,40,33,100
S10347,Michael Lyons,53,79,34,89,58
S10348,Jennifer Gibbs,43,32,84,63,72
S10349,Shannon Odonnell,67,95,87,77,78
S10350,Amy Baker,37,57,38,85,56
S10351,Daniel Lewis,45,64,74,63,94
S10352,Christina Johnson,89,98,67,37,60
S10353,Pedro Dean,92,76,38,35,57
S10354,Vanessa Johnson,83,33,76,84,82
S10355,Brianna Moore,35,68,54,71,100
S10356,Amber Villarreal,57,85,78,64,58
S10357,Craig Johnson,59,33,30,72,100
S10358,Darryl Thomas,57,94,56,66,65
S10359,Joshua Graham,43,66,55,46,88
S10360,Theodore Francis,48,77,59,48,67
S10361,Kenneth Beltran,88,46,52,93,62
S10362,Diana Hebert,92,71,34,45,94
S10363,Eddie Rodriguez,50,71,43,57,100
S10364,Kelly Morales,39,42,93,39,81
S10365,Linda Dalton,39,87,91,47,100
S10366,Ashley Le,71,85,54,67,100
S10367,Tyrone Williams,61,74,39,67,100
S10368,Cheyenne Fields,67,86,64,39,60
S10369,Samantha Church,67,74,36,73,75
S10370,Amber Vega,42,75,86,87,93
S10371,Tammy Chavez,30,33,35,80,100
S10372,Sean Cisneros,47,67,59,39,79
S10373,Charles Riggs,56,30,81,35,88
S10374,Caleb King,97,99,48,40,57
S10375,Mrs. Amy Stafford DDS,86,65,62,44,100
S10376,Charles Smith,92,48,84,44,74
S10377,Tara Johnson,78,80,53,75,87
S10378,Christopher Williams,44,64,86,38,64
S10379,John Herring,56,42,62,41,52
S10380,Devin Olson,36,44,92,77,100
S10381,Stephanie Moody,72,73,64,42,57
S10382,Lisa Walker,33,66,34,68,75
S10383,Jennifer Johnson,61,55,53,81,100
S10384,Michelle Gonzales,91,52,43,78,95
S10385,Jennifer Hernandez,69,49,83,66,50
S10386,Christopher Stewart,81,82,99,85,87
S10387,Michael Garcia,82,60,56,88,75
S10388,Suzanne Johnson,31,67,74,68,100
S10389,Emily Contreras,91,85,87,39,53
S10390,Beverly Jensen,98,56,32,45,71
S10391,Nicholas Farrell,84,30,86,77,91
S10392,Jason Alexander,50,80,72,49,89
S10393,Isaiah Schroeder,85,79,49,77,88
S10394,Walter Brandt,51,84,88,88,93
S10395,Henry Keller,35,93,50,43,51
S10396,Kenneth Hill,66,39,75,55,100
S10397,Joseph Green,78,40,91,83,94
S10398,Mark Harris,31,37,89,55,63
S10399,Meghan Valdez,98,68,99,46,100
S10400,Emily Jackson,99,60,82,84,94
S10401,Aaron Smith,52,45,57,33,100
S10402,Nicole Lucero,87,64,64,78,94
S10403,Terry Branch,92,37,96,94,100
S10404,Melanie Duke,32,80,58,98,100
S10405,Kenneth Davis,59,45,90,33,100
S10406,Christopher Ward,61,97,75,34,100
S10407,Connie Wood,64,44,91,38,58
S10408,Joshua Kim,35,61,44,82,92
S10409,Rhonda Herman,80,49,61,91,100
S10410,Tammy Thornton,90,96,55,74,100
S10411,Julia Berry,71,87,71,54,51
S10412,Hunter Kline,45,45,62,57,100
S10413,Jeremy Wilson,90,33,46,58,90
S10414,Rachel Olson,67,55,65,92,67
S10415,Collin Morrow,61,44,57,76,100
S10416,Paul Ross,58,99,79,88,69
S10417,Amanda Fox,99,40,84,49,51
S10418,Marcus Sexton,94,85,83,90,69
S10419,John Edwards,70,84,55,54,100
S10420,Shannon Thompson,67,38,74,58,100
S10421,David Johnson,31,38,82,49,52
S10422,Timothy Johnson,39,61,34,78,96
S10423,Megan Griffin DDS,92,86,61,63,73
S10424,Frank Anderson,64,44,55,50,87
S10425,Tiffany Ayala,39,71,49,92,88
S10426,Lisa Parrish,91,98,74,38,100
S10427,Mathew Thompson,83,68,36,63,63
S10428,Mrs. Regina Smith,73,89,46,87,86
S10429,Victoria Taylor,47,54,47,59,87
S10430,Wendy Herrera,41,57,98,74,80
S10431,Dennis Cook,39,62,64,96,90
S10432,Jason Little,59,96,82,51,82
S10433,Andrew Williamson,30,47,40,74,96
S10434,Shelly Fernandez,52,71,41,96,100
S10435,Brian Hughes,51,82,70,37,100
S10436,Dr. Elaine Hamilton,43,40,65,57,75
S10437,Jeremy Graham,90,49,97,71,87
S10438,Kevin Phillips,62,76,61,85,100
S10439,Austin Nunez,47,92,84,88,100
S10440,Michael Swanson,83,30,47,55,97
S10441,Pamela Schroeder,37,77,90,63,99
S10442,Catherine Foley,75,46,37,61,100
S10443,Kelly Smith,63,53,65,51,86
S10444,Vanessa Bradley,68,52,54,47,62
S10445,Anna Ellis,82,41,97,32,92
S10446,Jacob Rodriguez,76,79,91,55,100
S10447,Timothy Zavala,37,94,49,41,69
S10448,Warren Harris,78,50,98,43,100
S10449,Timothy Bishop,37,36,44,31,70
S10450,Anthony Murphy,38,30,71,71,100
S10451,Mr. Anthony Marshall,96,40,48,70,56
S10452,Gregory Gonzalez,56,91,56,74,94
S10453,Brittany Stout,92,43,58,30,100
S10454,Sarah Jenkins,44,58,58,60,98
S10455,Michael Estrada,99,95,42,58,50
S10456,Darin Rojas,40,93,60,76,100
S10457,Charles Castro,95,87,68,81,100
S10458,Heather Campbell,34,44,94,50,82
S10459,Carla Richardson,57,51,57,73,67
S10460,Cindy Williams,67,45,97,60,100
S10461,Gary White,95,70,99,44,100
S10462,Lawrence James,39,72,60,85,53
S10463,Michael Kelly,66,80,72,94,90
S10464,Katherine Campbell,38,70,83,73,100
S10465,Dawn Wallace,53,52,68,80,54
S10466,Patricia Harris,97,35,56,56,83
S10467,Robert Grant,61,75,89,55,100
S10468,James Tate,88,49,82,85,87
S10469,Austin Johnson,76,43,61,65,87
S10470,Margaret Acosta,82,44,95,68,92
S10471,Meredith Villegas,35,85,47,82,64
S10472,Elizabeth Chang,74,83,91,97,57
S10473,Matthew Larson,38,48,74,75,100
S10474,Andrew Lin,41,88,42,33,81
S10475,Ruth Ramirez,80,38,57,57,81
S10476,Ricardo Young,84,41,71,82,77
S10477,Monica Frazier,54,61,99,83,63
S10478,Jesse Holder,50,38,41,65,100
S10479,Jane Davis,86,92,48,74,100
S10480,Terri Fleming,50,87,82,87,89
S10481,Rachel Mayer,39,83,58,40,99
S10482,Jill Smith,93,68,92,37,65
S10483,Andres Church,83,82,55,79,67
S10484,Cole Drake,94,74,86,31,100
S10485,Kara Woods,51,69,99,64,84
S10486,Marissa Schroeder,82,70,49,83,82
S10487,Caroline Chapman,75,60,70,76,100
S10488,Hannah Vincent,72,64,52,54,100
S10489,Daniel Martinez,45,35,33,57,98
S10490,Justin Oliver,86,74,30,88,68
S10491,James Sweeney,37,55,52,99,100
S10492,Joy Watson,96,65,30,35,100
S10493,Lori Santiago,43,80,89,88,64
S10494,Tina Powell,41,73,94,72,54
S10495,Angela Hansen,95,35,67,47,85
S10496,Carlos Tucker,82,36,93,35,87
S10497,Gregory Brown,32,91,95,35,78
S10498,Daniel Williams,68,57,75,74,65
S10499,Dorothy Rose,36,65,39,72,91
S10500,Travis Williams,33,50,96,66,96
S10501,Sergio Hubbard,70,53,70,34,84
S10502,Michelle Watkins,99,30,82,74,77
S10503,Manuel Reed,46,55,41,73,100
S10504,Jacob Lamb,45,64,74,94,100
S10505,Sean Cochran,34,98,86,92,67
S10506,Anthony Johnson,98,83,46,78,69
S10507,Tyler Ortiz,92,73,98,74,95
S10508,Laurie Sanchez,75,86,64,69,71
S10509,Cynthia Kaiser,73,63,47,56,87
S10510,Jeffrey Smith,56,39,31,82,100
S10511,Rachel Harris,55,79,75,45,100
S10512,Shannon Flores,97,49,85,75,92
S10513,Samuel Alvarado,53,50,85,63,70
S10514,Dr. Angel Medina,34,40,53,80,100
S10515,Caitlin Jordan,95,62,35,51,100
S10516,Mrs. Alexandra Gray,67,94,30,42,82
S10517,Jeffrey Wong,73,72,90,64,81
S10518,Jonathan Castillo,56,55,71,73,56
S10519,Carrie Knight,68,49,59,40,100
S10520,Deborah Edwards,64,46,36,36,64
S10521,Melinda Perez,40,88,78,30,78
S10522,Linda Mcmahon,99,98,80,66,71
S10523,Michael Morales,49,66,31,59,100
S10524,Julie Carson,43,41,81,42,84
S10525,Christine Harrell,37,30,69,50,71
S10526,Samantha Lee,33,71,78,60,89
S10527,Richard Jones,77,55,30,37,70
S10528,Dennis Clark,58,88,51,96,100
S10529,Samuel Banks,72,31,35,66,100
S10530,Joyce Brown,54,31,93,78,52
S10531,Christine Wells,55,91,66,99,85
S10532,Taylor Brown,48,90,47,94,100
S10533,Christine Hodge,55,87,71,31,82
S10534,Christine Sandoval,84,34,51,53,88
S10535,Bonnie Clarke,91,49,87,83,100
S10536,Ronald Silva,79,51,34,64,67
S10537,Curtis Price,67,50,43,50,95
S10538,Henry Padilla,35,81,78,67,90
S10539,John Green,84,49,56,70,51
S10540,Spencer Ward,69,37,64,39,52
S10541,Brandon Heath,92,58,63,83,100
S10542,Sarah Miranda,81,76,88,81,78
S10543,Jennifer Ramirez,49,79,96,89,63
S10544,Cindy Knight,86,49,45,74,69
S10545,Gregory Smith,80,55,76,48,53
S10546,Emma Middleton,41,51,89,42,54
S10547,Kristen Jones,88,45,53,97,100
S10548,Jason Raymond,75,64,96,98,100
S10549,Amber Copeland,89,87,90,80,100
S10550,Amber Hendricks,59,79,74,65,61
S10551,Jeremy Smith,57,59,88,73,96
S10552,Michael Hunter,89,56,40,81,87
S10553,Nicole Powell,38,31,93,62,66
S10554,Marissa Parks,81,63,86,77,100
S10555,Rebecca Garcia PhD,91,65,57,35,76
S10556,Sean Thomas,70,82,84,90,50
S10557,Scott Gray,80,93,33,52,88
S10558,Meagan Chapman,43,38,53,96,55
S10559,Nancy Alvarez,69,68,74,97,100
S10560,Carol Soto,78,43,36,74,100
S10561,Colleen Brown,31,92,90,61,52
S10562,Nicholas Chapman,72,58,80,78,84
S10563,Traci Watkins,86,40,61,93,86
S10564,Jason Mcdonald,61,56,69,34,100
S10565,Mikayla Yoder,58,92,99,60,86
S10566,Christopher Lynch,49,54,52,72,55
S10567,Julie Hodge,80,95,38,46,54
S10568,Christopher Garner,94,55,36,62,100
S10569,Ryan Zuniga,74,38,59,86,79
S10570,Kaylee Alvarado,60,59,38,72,66
S10571,Rhonda Powell,44,98,33,62,74
S10572,Angela Watson,58,88,54,71,72
S10573,Joshua Fisher,35,64,60,52,100
S10574,Stanley Neal,37,49,87,78,59
S10575,Michael Daniels,82,30,48,54,67
S10576,Richard Powell,53,75,40,97,100
S10577,Matthew Henderson,72,77,47,49,92
S10578,Mario Porter,83,60,75,33,100
S10579,Jessica Daniel,32,45,36,50,52
S10580,Caroline Armstrong,40,53,65,60,100
S10581,Thomas Zuniga,77,42,83,61,100
S10582,James Shannon,36,95,54,44,88
S10583,Luis Guerrero,42,69,65,39,100
S10584,Jessica Rhodes,34,93,99,68,62
S10585,Daniel Rodriguez,83,76,36,50,98
S10586,Samuel Welch,42,61,89,87,51
S10587,Wayne Martinez,77,30,90,60,89
S10588,Stephen Gaines,78,46,40,80,83
S10589,Michael Williams,82,98,38,59,68
S10590,Mary Meyer,63,63,81,53,50
S10591,Steven Griffith,39,64,91,77,56
S10592,Frank Green,39,65,85,80,88
S10593,Courtney Boyle,45,50,58,52,86
S10594,Shannon Martin,59,77,66,36,93
S10595,Sarah Carter,67,90,98,96,95
S10596,Tyler Mcdonald,94,32,56,50,84
S10597,Susan Bates,96,60,72,41,100
S10598,Gerald Williams,63,52,83,86,100
S10599,Emily Alvarez,73,59,77,86,100
S10600,Joseph Brown DVM,94,60,88,33,90
S10601,Brenda Brown,76,84,79,46,100
S10602,Jacqueline Glover,32,42,67,42,71
S10603,David Dennis,58,63,82,77,80
S10604,John Grimes,99,87,63,31,58
S10605,Mr. Robert Perry III,79,60,85,87,69
S10606,Justin Miller,95,99,83,57,81
S10607,Isaac Miller,71,97,64,55,88
S10608,John Simpson,56,89,61,89,100
S10609,Jessica Ward,45,67,86,85,99
S10610,Cynthia Holmes,94,73,99,36,52
S10611,Samuel Owens,51,59,80,65,100
S10612,Tara Williams,96,34,38,39,60
S10613,Amanda Lewis,66,53,94,89,72
S10614,Kevin Gonzalez,87,78,31,76,75
S10615,Brenda Price,55,52,50,34,81
S10616,Jessica Benton,92,82,73,76,92
S10617,Kari Fernandez,44,88,67,86,74
S10618,Michelle Cuevas,68,58,83,85,76
S10619,Deborah Velasquez,52,87,36,90,76
S10620,Rebekah Ellison,74,64,70,90,100
